X,DopingConcentration
-0.40000001,0
-0.044444446,0
0.40000001,0
0.40000001,-4.92e+15
0.74166667,-4.92e+15
1.16875,-4.92e+15
1.8659723,-4.92e+15
2.7375,-4.92e+15
3.4347222,-4.8374087e+15
4.3062501,-4.7341695e+15
5.0034723,-3.1318438e+15
5.875,-1.1289366e+15
6.2236114,-7.1941047e+14
6.6593752,-2.0750279e+14
6.8336806,-1.3144314e+14
7.0515623,-3.6368572e+13
7.1387153,-1.6055638e+13
7.2476563,9.3355287e+12
7.3348088,2.2253685e+13
7.4437499,3.8401381e+13
7.6180553,5.1052663e+13
7.8359375,6.6866765e+13
8.0102425,7.1076219e+13
8.2281246,7.6338036e+13
8.5767355,7.7878406e+13
9.0124998,7.9803868e+13
9.8840275,7.991276e+13
10.58125,7.9999873e+13
10.929861,7.9999901e+13
12.15,8e+13
14.590278,8e+13
15.2875,8e+13
15.636111,8e+13
18.424999,8e+13
19.122221,8e+13
24.700001,8e+13
26.094444,8e+13
37.25,8e+13
48.405556,8e+13
49.799999,8e+13
51.194443,8e+13
62.349998,8e+13
65.138885,8e+13
74.900002,8e+13
76.294449,8e+13
81.175003,8e+13
81.872223,8e+13
84.3125,8e+13
85.532639,8e+13
86.229858,8e+13
87.449997,8e+13
87.798607,8e+13
89.018753,8e+13
89.715973,8e+13
90.587502,8e+13
91.284721,8e+13
91.371872,8e+13
92.069099,8e+13
92.15625,8e+13
92.853477,8e+13
92.940628,8e+13
93.637848,8e+13
93.724998,8e+13
94.422226,8e+13
94.509377,8e+13
95.206596,8e+13
95.293747,8e+13
95.990974,8e+13
96.078125,8e+13
96.775352,8e+13
96.862503,8e+13
97.559723,8.0000001e+13
97.646873,8.0000001e+13
98.344101,8.0736966e+13
98.431252,8.0829087e+13
98.779861,1.6259352e+14
98.823441,1.7281407e+14
98.997742,6.1685218e+14
99.019531,6.7235695e+14
99.193832,2.5448851e+15
99.215622,2.7789512e+15
99.564232,1.8501262e+16
99.607811,2.0466551e+16
99.956421,3.7900728e+16
100,4.008e+16

