X,DopingConcentration
-0.36000001,1e+21
-0.35570025,1e+21
-0.30195314,1e+21
-0.2946904,1e+21
-0.20390625,1e+21
-0.20027488,1e+21
-0.15488282,1e+21
-0.15125145,1e+21
-0.10585938,1e+21
-0.10404369,1e+21
-0.081347659,1e+21
-0.079766348,1e+21
-0.059999999,1e+21
-0.059999999,0
-0.059765622,0
-0.056835938,0
-0.055020254,0
-0.032324217,0
-0.031416375,0
-0.020068359,0
-0.019614438,0
-0.013940429,0
-0.013486508,0
-0.0078125,0
-0.0075855395,0
-0.0047485353,0
-0.0045215748,0
-0.0016845703,0
-0.0015597873,0
0,0
0,-4.9992e+17
0.00032913775,-4.9991968e+17
0.0044433596,-4.9991571e+17
0.0048972801,-4.9991423e+17
0.010571289,-4.9989571e+17
0.01102521,-4.9989302e+17
0.016699219,-4.998594e+17
0.017607061,-4.9985039e+17
0.028955078,-4.9973782e+17
0.02986292,-4.9972398e+17
0.041210938,-4.9955103e+17
0.043026622,-4.9950889e+17
0.065722659,-4.9898211e+17
0.067538343,-4.9892074e+17
0.090234376,-4.9815354e+17
0.093865745,-4.979735e+17
0.13925782,-4.95723e+17
0.14288919,-4.9546756e+17
0.18828125,-4.9227458e+17
0.19554399,-4.915443e+17
0.28632814,-4.8241582e+17
0.29359087,-4.8140868e+17
0.38437501,-4.6881941e+17
0.39890048,-4.6607727e+17
0.58046877,-4.318005e+17
0.59499425,-4.2830614e+17
0.77656251,-3.8462666e+17
1.1396991,-2.8408974e+17
1.16875,-2.7604679e+17
1.197801,-2.6934754e+17
1.953125,-9.5167294e+16
1.9821759,-9.2352384e+16
2.7375,-1.9164738e+16
2.7520254,-1.8714133e+16
3.1296875,-6.998397e+15
3.144213,-6.8205915e+15
3.5218749,-2.1976482e+15
3.5364003,-2.1370375e+15
3.9140625,-5.6116111e+14
3.9213252,-5.4939744e+14
4.1101561,-2.4354206e+14
4.1174188,-2.3740709e+14
4.3062501,-7.7897959e+13
4.3098817,-7.6084403e+13
4.4042969,-2.8931938e+13
4.4079285,-2.7657623e+13
4.5023437,5.4745689e+12
4.5059752,6.3621031e+12
4.6003904,2.9437992e+13
4.604022,3.0050716e+13
4.6984377,4.5981538e+13
4.7057004,4.6685265e+13
4.8945313,6.4982174e+13
4.901794,6.5300915e+13
5.0906248,7.3588175e+13
5.1051502,7.3786493e+13
5.4828124,7.8942751e+13
5.4973378,7.8976259e+13
5.875,7.9847489e+13
5.9040508,7.9853059e+13
6.6593752,7.9997875e+13
6.688426,7.9997953e+13
7.4437499,7.9999983e+13
7.4728007,7.9999983e+13
8.2281246,8e+13
8.2571754,8e+13
9.0124998,8e+13
9.7678242,8e+13
10.58125,8e+13
10.987963,8e+13
12.15,8e+13
12.963426,8e+13
15.2875,8e+13
17.262962,8e+13
18.424999,8e+13
22.375927,8e+13
24.700001,8e+13
34.925926,8e+13
37.25,8e+13
47.475925,8e+13
49.799999,8e+13
60.025925,8e+13
62.349998,8e+13
72.575928,8e+13
74.900002,8e+13
77.224075,8e+13
81.175003,8e+13
83.499077,8e+13
84.3125,8e+13
84.719215,8.0000065e+13
85.881248,8.0000252e+13
86.694672,1.4883541e+14
87.449997,2.1275377e+14
87.856712,1.9503016e+15
88.234375,3.5637389e+15
88.64109,6.9425409e+15
89.018753,1.008e+16
89.832176,1.008e+16
90.587502,1.008e+16
90.994209,8.9380073e+15
91.371872,7.8775855e+15
91.778587,4.3024515e+15
92.15625,9.826843e+14
92.911575,5.4803552e+14
93.724998,7.9952214e+13
93.928352,7.8589936e+13
94.509377,7.4697712e+13
94.611053,6.6010364e+13
94.901566,4.118937e+13
94.9524,2.5493215e+13
95.097656,-1.9352944e+13
95.148491,-5.7147772e+13
95.293747,-1.6513299e+14
95.395424,-4.4795859e+14
95.685936,-1.2560317e+15
95.787613,-2.5386864e+15
96.078125,-6.203414e+15
96.281479,-2.7725901e+16
96.862503,-8.9218719e+16
97.065857,-2.4849235e+17
97.646873,-7.0355987e+17
97.850227,-1.3181113e+18
98.431252,-3.0739727e+18
98.837967,-4.8695887e+18
100,-9.99992e+18

